Time,Waiting Time
5.86745,4E-05
5.86777,0.00036
5.86808,0.00067
5.86916,0
5.86947,0.00031
5.86979,0.00063
5.87002,4E-05
5.87034,0.00036
5.87065,0.00067
5.87173,0
5.87204,0.00031
5.87236,0.00063
5.87259,4E-05
5.87291,0.00036
5.87322,0.00067
5.87441,0
5.87473,0.00032
5.87504,0.00063
5.87528,5E-05
5.87559,0.00036
5.87591,0.00068
5.87698,0
5.8773,0.00032
5.87761,0.00063
5.87785,5E-05
5.87816,0.00036
5.87848,0.00068
5.87955,0
5.87987,0.00032
5.88018,0.00063
5.88042,5E-05
5.88073,0.00036
5.88105,0.00068
5.88212,0
5.88244,0.00032
5.88275,0.00063
5.88299,5E-05
5.8833,0.00036
5.88362,0.00068
5.88481,0
5.88512,0.00031
5.88544,0.00063
5.88567,4E-05
5.88599,0.00036
5.8863,0.00067
5.88738,0
5.88769,0.00031
5.88801,0.00063
5.88824,4E-05
5.88856,0.00036
5.88887,0.00067
5.88995,0
5.89026,0.00031
5.89058,0.00063
5.89081,4E-05
5.89113,0.00036
5.89144,0.00067
5.89252,0
5.89283,0.00031
5.89315,0.00063
5.89338,4E-05
5.8937,0.00036
5.89401,0.00067
5.89509,0
5.8954,0.00031
5.89572,0.00063
5.89595,4E-05
5.89627,0.00036
5.89658,0.00067
5.89777,0
5.89809,0.00032
5.8984,0.00063
5.89864,5E-05
5.89895,0.00036
5.89927,0.00068
5.90034,0
5.90066,0.00032
5.90097,0.00063
5.90121,5E-05
5.90152,0.00036
5.90184,0.00068
5.90291,0
5.90323,0.00032
5.90354,0.00063
5.90378,5E-05
5.90409,0.00036
5.90441,0.00068
5.90548,0
5.9058,0.00032
5.90611,0.00063
5.90635,5E-05
5.90666,0.00036
5.90698,0.00068
5.90805,0
5.90837,0.00032
5.90868,0.00063
5.90899,0
5.9093,0.00031
5.90962,0.00063
5.91074,0
5.91105,0.00031
5.91137,0.00063
5.9116,4E-05
5.91192,0.00036
5.91223,0.00067
5.91331,0
5.91362,0.00031
5.91394,0.00063
6.01668,0
6.01699,0.00031
6.01731,0.00063
6.01843,0
6.01874,0.00031
6.01906,0.00063
6.01971,0
6.02003,0.00032
6.02034,0.00063
6.02147,0
6.02178,0.00031
6.02209,0.00062
6.02252,0
6.02283,0.00031
6.02315,0.00063
6.02427,0
6.02458,0.00031
6.0249,0.00063
6.02513,4E-05
6.02545,0.00036
6.02576,0.00067
6.02684,0
6.02715,0.00031
6.02747,0.00063
6.0277,4E-05
6.02802,0.00036
6.02833,0.00067
6.02941,0
6.02972,0.00031
6.03004,0.00063
6.03027,4E-05
6.03059,0.00036
6.0309,0.00067
6.21419,0
6.2145,0.00031
6.21481,0.00062
6.21547,0
6.21579,0.00032
6.2161,0.00063
6.21722,0
6.21754,0.00032
6.21785,0.00063
6.21827,0
6.21859,0.00032
6.2189,0.00063
6.22003,0
6.22034,0.00031
6.22065,0.00062
6.22089,5E-05
6.22121,0.00037
6.22152,0.00068
6.2226,0
6.22291,0.00031
6.22322,0.00062
6.22346,5E-05
6.22377,0.00036
6.22409,0.00068
6.22516,0
6.22548,0.00032
6.22579,0.00063
6.22603,5E-05
6.22634,0.00036
6.22666,0.00068
6.22773,0
6.22805,0.00032
6.22836,0.00063
6.22867,0
6.22898,0.00031
6.2293,0.00063
6.23042,0
6.23074,0.00032
6.23105,0.00063
6.23129,5E-05
6.2316,0.00036
6.23192,0.00068
6.23299,0
6.23331,0.00032
6.23362,0.00063
6.23386,5E-05
6.23417,0.00036
6.23448,0.00067
6.23556,0
6.23587,0.00031
6.23619,0.00063
6.23643,5E-05
6.23674,0.00036
6.23705,0.00067
6.23813,0
6.23844,0.00031
6.23876,0.00063
6.23906,0
6.23938,0.00032
6.23969,0.00063
6.24082,0
6.24113,0.00031
6.24145,0.00063
6.24168,5E-05
6.242,0.00037
6.24231,0.00068
6.24339,0
6.2437,0.00031
6.24401,0.00062
6.24425,5E-05
6.24457,0.00037
6.24488,0.00068
6.24596,0
6.24627,0.00031
6.24658,0.00062
6.24682,5E-05
6.24713,0.00036
6.24745,0.00068
6.24852,0
6.24884,0.00032
6.24915,0.00063
6.24939,5E-05
6.2497,0.00036
6.25002,0.00068
6.25121,0
