Time ,CWND1,CWND3
3.5961,268000,268000
3.59767,268536,268536
3.59905,269072,269072
3.60043,269608,269608
3.602,270144,270144
3.60337,270680,270680
3.60475,271216,271216
3.60632,271752,271752
3.6077,272288,272288
3.60908,272824,272824
3.61065,273360,273360
3.61203,273896,273896
3.6134,274432,274432
3.64337,274968,274968
3.64562,275504,275504
3.647,276040,276040
3.64857,276576,276576
3.65029,277112,277112
3.65167,277648,277648
3.65324,278184,278184
3.65462,278720,278720
3.65599,279256,279256
3.65757,279792,279792
3.65894,280328,280328
3.66032,280864,280864
3.66189,281400,281400
3.66327,281936,281936
3.66464,282472,282472
3.66622,283008,283008
3.66759,283544,283544
3.66897,284080,284080
3.67054,284616,284616
3.67192,285152,285152
3.67329,285688,285688
3.67487,286224,286224
3.67624,286760,286760
3.67762,287296,287296
3.67919,287832,287832
3.68057,288368,288368
3.68195,288904,288904
3.68352,289440,289440
3.68489,289976,289976
3.68627,290512,290512
3.68784,291048,291048
3.68922,291584,291584
3.6906,292120,292120
3.69217,292656,292656
3.69355,293192,293192
3.69492,293728,293728
3.69649,294264,294264
3.69787,294800,294800
3.69925,295336,295336
3.70082,295872,295872
3.7022,296408,296408
3.70357,296944,296944
3.70515,297480,297480
3.70652,298016,298016
3.7079,298552,298552
3.70947,299088,299088
3.71085,299624,299624
3.71222,300160,300160
3.7138,300696,300696
3.71517,301232,301232
3.71655,301768,301768
3.71812,302304,302304
3.7195,302840,302840
3.72087,303376,303376
3.72245,303912,303912
3.72382,304448,304448
3.7252,304984,304984
3.72677,305520,305520
3.72815,306056,306056
3.72952,306592,306592
3.7311,307128,307128
3.73247,307664,307664
3.73385,308200,308200
3.73542,308736,308736
3.7368,309272,309272
3.73817,309808,309808
3.73975,310344,310344
3.74112,310880,310880
3.7425,311416,311416
3.74407,311952,311952
3.74545,312488,312488
3.74683,313024,313024
3.7484,313560,313560
3.74977,314096,314096
3.75115,314632,314632
3.75272,315168,315168
3.7541,315704,315704
3.75548,316240,316240
3.75705,316776,316776
3.75843,317312,317312
3.7598,317848,317848
3.76137,318384,318384
3.76275,318920,318920
3.76413,319456,319456
3.7657,319992,319992
3.76708,320528,320528
3.76845,321064,321064
3.77003,321600,321600
3.77141,322136,322136
3.77279,322672,322672
3.77436,323208,323208
3.77574,323744,323744
3.77711,324280,324280
3.77869,324816,324816
3.78006,325352,325352
3.78144,325888,325888
3.78301,326424,326424
3.78439,326960,326960
3.78577,327496,327496
3.78734,328032,328032
3.78871,328568,328568
3.79009,329104,329104
3.79166,329640,329640
3.79304,330176,330176
3.79442,330712,330712
3.79599,331248,331248
3.79737,331784,331784
3.79874,332320,332320
3.80031,332856,332856
3.80169,333392,333392
3.80307,333928,333928
3.80464,334464,334464
3.80602,335000,335000
3.80739,335536,335536
3.80897,336072,336072
3.81034,336608,336608
3.81172,337144,337144
3.81329,337680,337680
3.81467,338216,338216
3.81604,338752,338752
3.81762,339288,339288
3.81899,339824,339824
3.82037,340360,340360
3.82194,340896,340896
3.82332,341432,341432
3.82469,341968,341968
3.82627,342504,342504
3.82764,343040,343040
3.82902,343576,343576
3.83059,344112,344112
3.83197,344648,344648
3.83334,345184,345184
3.83492,345720,345720
3.86462,346256,346256
3.866,346792,346792
3.86763,347328,347328
3.86988,347864,347864
3.87125,348400,348400
3.87283,348936,348936
3.87455,349472,349472
3.87592,350008,350008
3.8775,350544,350544
3.87887,351080,351080
3.88025,351616,351616
3.88182,352152,352152
3.8832,352688,352688
3.88457,353224,353224
